Botanical Name,family,Alberta,British Columbia,Manitoba,New Brunswick,Nova Scotia,Ontario,Quebec,Saskatchewan
aira praecox,Poaceae,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
ajuga spp.,Lamiaceae,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
ajuga genevensis,Lamiaceae,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0
ajuga reptans,Lamiaceae,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
alcea spp.,Malvaceae,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0
alcea rosea,Malvaceae,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0
alchemilla spp.,Rosaceae,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
alchemilla arvensis,Rosaceae,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
alchemilla australis,Rosaceae,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
alchemilla filicaulis,Rosaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
alchemilla glabra,Rosaceae,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0
alchemilla glaucescens,Rosaceae,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
alchemilla glomerulans,Rosaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
alchemilla micans,Rosaceae,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0
alchemilla monticola,Rosaceae,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
alchemilla occidentalis,Rosaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
alchemilla subcrenata,Rosaceae,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
alchemilla venosa,Rosaceae,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0
alchemilla xanthochlora,Rosaceae,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0
aletris spp.,Nartheciaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
aletris farinosa,Nartheciaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
alisma spp.,Alismataceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alisma gramineum,Alismataceae,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
alisma subcordatum,Alismataceae,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0
alisma triviale,Alismataceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alkekengi spp.,Solanaceae,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
alkekengi officinarum var. officinarum,Solanaceae,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
alliaria spp.,Brassicaceae,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0
alliaria petiolata,Brassicaceae,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0
allium spp.,Amaryllidaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allium acuminatum,Amaryllidaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
allium amplectens,Amaryllidaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
allium burdickii,Amaryllidaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
allium canadense,Amaryllidaceae,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0
allium canadense var. canadense,Amaryllidaceae,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0
allium cernuum,Amaryllidaceae,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0
allium crenulatum,Amaryllidaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
allium geyeri,Amaryllidaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
allium geyeri var. geyeri,Amaryllidaceae,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
allium geyeri var. tenerum,Amaryllidaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
allium oleraceum,Amaryllidaceae,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
allium schoenoprasum,Amaryllidaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allium stellatum,Amaryllidaceae,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0
allium textile,Amaryllidaceae,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0
allium tricoccum,Amaryllidaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
allium validum,Amaryllidaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
allium vineale,Amaryllidaceae,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0
allotropa spp.,Ericaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
allotropa virgata,Ericaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
almutaster spp.,Asteraceae,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0
almutaster pauciflorus,Asteraceae,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0
alnus spp.,Betulaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alnus alnobetula,Betulaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alnus alnobetula subsp. crispa,Betulaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alnus alnobetula subsp. fruticosa,Betulaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
alnus alnobetula subsp. sinuata,Betulaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
alnus glutinosa,Betulaceae,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
alnus glutinosa subsp. glutinosa,Betulaceae,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
alnus incana,Betulaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alnus incana subsp. rugosa,Betulaceae,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
alnus incana subsp. tenuifolia,Betulaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
alnus rubra,Betulaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
alnus serrulata,Betulaceae,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0
alopecurus spp.,Poaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alopecurus aequalis,Poaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alopecurus arundinaceus,Poaceae,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
alopecurus carolinianus,Poaceae,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
alopecurus geniculatus,Poaceae,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
alopecurus magellanicus,Poaceae,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
alopecurus myosuroides,Poaceae,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
alopecurus pratensis,Poaceae,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
alopecurus pratensis subsp. pratensis,Poaceae,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
alopecurus x haussknechtianus,Poaceae,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
althaea spp.,Malvaceae,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0
althaea officinalis,Malvaceae,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0
alyssum spp.,Brassicaceae,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
alyssum alyssoides,Brassicaceae,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
alyssum desertorum,Brassicaceae,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0
amaranthus spp.,Amaranthaceae,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
amaranthus albus,Amaranthaceae,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
amaranthus blitoides,Amaranthaceae,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
amaranthus blitum,Amaranthaceae,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
amaranthus blitum subsp. blitum,Amaranthaceae,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0
amaranthus blitum subsp. emarginatus,Amaranthaceae,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
amaranthus californicus,Amaranthaceae,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
amaranthus hybridus,Amaranthaceae,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0
amaranthus hybridus subsp. hybridus,Amaranthaceae,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0
amaranthus hybridus subsp. quitensis,Amaranthaceae,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
amaranthus hypochondriacus,Amaranthaceae,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0
amaranthus palmeri,Amaranthaceae,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
amaranthus powellii,Amaranthaceae,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
amaranthus retroflexus,Amaranthaceae,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
amaranthus spinosus,Amaranthaceae,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0
amaranthus tuberculatus,Amaranthaceae,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0
amaranthus viridis,Amaranthaceae,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
amaranthus x budensis,Amaranthaceae,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
amaranthus x ozanonii,Amaranthaceae,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
amaranthus x soproniensis,Amaranthaceae,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0
amberboa spp.,Asteraceae,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
amberboa moschata,Asteraceae,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
ambrosia spp.,Asteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ambrosia acanthicarpa,Asteraceae,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0
ambrosia artemisiifolia,Asteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ambrosia chamissonis,Asteraceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
ambrosia psilostachya,Asteraceae,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ambrosia trifida,Asteraceae,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ambrosia x helenae,Asteraceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
amelanchier spp.,Rosaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amelanchier alnifolia,Rosaceae,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0
